chromosome	start	end	strand	gene_type	gene_name
chr15	95745804	95745994	+	snRNA	RNU2-3P
chr15	95990582	96300990	+	lncRNA	ENSG00000275443
chr15	96045341	96064357	-	lncRNA	ENSG00000259702
chr15	96080713	96084584	-	lncRNA	ENSG00000273771
chr15	96110040	96327361	-	lncRNA	NR2F2-AS1
chr15	96112628	96116051	-	TEC	ENSG00000280048
chr15	96139472	96140452	-	lncRNA	ENSG00000277135
chr15	96171575	96174339	+	lncRNA	ENSG00000259359
chr15	96230897	96231145	+	lncRNA	ENSG00000278146
chr15	96235785	96237010	+	lncRNA	LINC02157
chr15	96294935	96298023	-	TEC	ENSG00000280291
chr15	96325938	96340263	+	protein_coding	NR2F2
chr15	96333261	96333307	+	miRNA	MIR1469
chr15	96342953	96345651	+	lncRNA	ENSG00000275322
chr15	96354237	96405235	+	lncRNA	ENSG00000259275
chr15	96388214	96389056	-	processed_pseudogene	TUBAP12
chr15	96393146	96405189	-	lncRNA	ENSG00000259542
chr15	96438570	96444266	+	lncRNA	ENSG00000259312
chr15	96441566	96442313	-	processed_pseudogene	PGAM1P12
chr15	96448154	96448493	+	processed_pseudogene	ENSG00000242295
chr15	96448842	96449749	+	lncRNA	ENSG00000259534
chr15	96486582	96486891	+	misc_RNA	RN7SKP254
chr15	96496180	96496462	-	misc_RNA	Metazoa_SRP
chr15	96551381	96551517	+	processed_pseudogene	ENSG00000259340
chr15	96756987	96758596	+	processed_pseudogene	FAM149B1P1
chr15	96772005	96783312	-	lncRNA	SPATA8-AS1
chr15	96783389	96785615	+	lncRNA	SPATA8
chr15	96842069	96842384	+	misc_RNA	RN7SKP181
chr15	97215812	97432094	+	lncRNA	LINC02253
chr15	97272020	97319321	-	lncRNA	ENSG00000259403
chr15	97339693	97523442	-	lncRNA	LINC02254
chr15	97353497	97353815	+	misc_RNA	RN7SL677P
chr15	97472126	97472252	-	rRNA_pseudogene	RNA5SP401
chr15	97533738	97541476	-	TEC	ENSG00000279091
chr15	97540597	97560702	-	lncRNA	ENSG00000259582
chr15	97557808	97559097	+	lncRNA	ENSG00000287267
chr15	97560849	97572707	+	lncRNA	ENSG00000287321
chr15	97572185	97875650	-	lncRNA	LINC00923
chr15	97876289	97878386	+	lncRNA	ENSG00000259870
chr15	97945208	97950018	-	lncRNA	ENSG00000287000
chr15	97960703	97973833	+	protein_coding	ARRDC4
chr15	97982509	97991142	-	lncRNA	ENSG00000259478
chr15	98003038	98087384	+	lncRNA	LINC02251
chr15	98026042	98026139	+	snRNA	U6
chr15	98038571	98293199	-	lncRNA	ENSG00000259199
chr15	98074667	98074763	-	snRNA	RNU6-1186P
chr15	98081993	98103761	-	lncRNA	LINC01582
chr15	98111729	98131707	-	lncRNA	ENSG00000259320
chr15	98118171	98118320	+	processed_pseudogene	ENSG00000259266
chr15	98282075	98285907	+	lncRNA	ENSG00000259041
chr15	98319687	98320237	-	lncRNA	ENSG00000274312
chr15	98323902	98421021	-	lncRNA	LINC02351
chr15	98437162	98547728	-	transcribed_unitary_pseudogene	FAM169B
chr15	98466840	98467412	+	processed_pseudogene	ENSG00000259507
chr15	98645118	98647389	-	lncRNA	IRAIN
chr15	98648539	98964530	+	protein_coding	IGF1R
chr15	98660210	98660668	+	lncRNA	ENSG00000278022
chr15	98784426	98784502	+	miRNA	MIR4714
chr15	98831666	98840189	-	lncRNA	ENSG00000287191
chr15	98880659	98893535	-	lncRNA	ENSG00000259621
chr15	98954149	99105824	-	lncRNA	SYNM-AS1
chr15	98968229	99007792	-	protein_coding	PGPEP1L
chr15	99014526	99031054	+	lncRNA	LUNAR1
chr15	99098217	99135593	+	protein_coding	SYNM
chr15	99128832	99131806	-	lncRNA	ENSG00000261054
chr15	99136323	99251223	-	protein_coding	TTC23
chr15	99139317	99145370	+	lncRNA	ENSG00000261616
chr15	99157231	99161140	-	lncRNA	ENSG00000259921
chr15	99251362	99390729	+	protein_coding	LRRC28
chr15	99257632	99260015	+	processed_pseudogene	HSP90B2P
chr15	99284625	99285576	-	processed_pseudogene	HNRNPA1P62
chr15	99337857	99338481	+	processed_pseudogene	ENSG00000259257
chr15	99395179	99396593	-	lncRNA	LINC02244
chr15	99396613	99401315	-	lncRNA	ENSG00000259760
chr15	99416584	99417204	+	lncRNA	ENSG00000274294
chr15	99423769	99435160	-	lncRNA	ENSG00000259341
chr15	99473454	99476314	-	lncRNA	ENSG00000286893
chr15	99497812	99498375	-	TEC	ENSG00000279846
chr15	99551382	99552117	-	processed_pseudogene	RPL7P5
chr15	99565417	99716488	+	protein_coding	MEF2A
chr15	99681786	99681877	-	misc_RNA	Y_RNA
chr15	99715697	99733561	-	protein_coding	LYSMD4
chr15	99790156	99806927	-	transcribed_unprocessed_pseudogene	DNM1P46
chr15	99791127	99792847	+	unprocessed_pseudogene	ENSG00000259655
chr15	99791209	99791410	+	misc_RNA	RN7SL484P
chr15	99805793	99916818	+	lncRNA	ENSG00000259363
chr15	99970215	99974010	+	lncRNA	ENSG00000254744
chr15	99971437	100342005	-	protein_coding	ADAMTS17
chr15	99976481	99980774	+	lncRNA	ENSG00000259219
chr15	100074081	100074190	-	rRNA_pseudogene	RNA5SP402
chr15	100126106	100129743	+	lncRNA	ENSG00000259356
chr15	100344047	100350725	-	lncRNA	SPATA41
chr15	100372936	100437914	+	lncRNA	CERS3-AS1
chr15	100400395	100544995	-	protein_coding	CERS3
chr15	100547765	100550153	-	lncRNA	ENSG00000270127
chr15	100551820	100551922	-	snRNA	RNU6-322P
chr15	100553529	100558954	-	processed_pseudogene	PRKXP1
chr15	100558677	100559798	+	lncRNA	ENSG00000259540
chr15	100559369	100603230	-	protein_coding	LINS1
chr15	100560686	100560792	-	snRNA	RNU6-181P
chr15	100602589	100651701	+	protein_coding	ASB7
chr15	100638363	100638457	+	misc_RNA	Y_RNA
chr15	100645434	100646655	-	processed_pseudogene	ENSG00000259381
chr15	100716249	100828497	+	lncRNA	ENSG00000259579
chr15	100782417	100786189	-	TEC	ENSG00000279588
chr15	100846604	100846767	-	processed_pseudogene	ENSG00000259586
chr15	100849561	100861756	+	lncRNA	ENSG00000232386
chr15	100849831	100876836	+	lncRNA	GCAWKR
chr15	100861843	100874369	+	lncRNA	ENSG00000259604
chr15	100861924	100885329	+	lncRNA	ENSG00000272639
chr15	100877714	100916626	+	protein_coding	ALDH1A3
chr15	100888472	100889106	-	lncRNA	ENSG00000278456
chr15	100892343	100919391	-	lncRNA	ALDH1A3-AS1
chr15	100919327	101078257	+	protein_coding	LRRK1
chr15	101043716	101049456	-	lncRNA	ENSG00000259376
chr15	101050732	101086066	-	lncRNA	ENSG00000259755
chr15	101058647	101063904	-	lncRNA	ENSG00000287892
chr15	101116603	101117546	+	lncRNA	ENSG00000259365
chr15	101168530	101170821	+	lncRNA	ENSG00000259182
chr15	101175727	101252048	-	protein_coding	CHSY1
chr15	101270817	101277500	-	protein_coding	SELENOS
chr15	101281510	101295282	-	protein_coding	SNRPA1
chr15	101289784	101525202	-	protein_coding	PCSK6
chr15	101295419	101305737	+	lncRNA	SNRPA1-DT
chr15	101299656	101301648	-	TEC	ENSG00000279970
chr15	101334437	101337428	+	lncRNA	PCSK6-AS1
chr15	101495052	101495567	-	lncRNA	ENSG00000274139
chr15	101500618	101501768	-	lncRNA	ENSG00000289271
chr15	101522597	101524739	-	lncRNA	ENSG00000277210
chr15	101527581	101528349	-	lncRNA	ENSG00000282793
chr15	101562536	101562974	+	processed_pseudogene	SNRPCP18
chr15	101580893	101581556	-	processed_pseudogene	ENSG00000259695
chr15	101602786	101614531	-	lncRNA	ENSG00000286733
chr15	101621444	101652391	-	protein_coding	TM2D3
chr15	101648206	101648312	-	snRNA	RNU6-807P
chr15	101652504	101653755	+	lncRNA	ENSG00000289028
chr15	101653596	101724473	-	protein_coding	TARS3
chr15	101732201	101746870	-	transcribed_unprocessed_pseudogene	ENSG00000259658
chr15	101751032	101794302	+	transcribed_unprocessed_pseudogene	DNM1P47
chr15	101771758	101781989	-	unprocessed_pseudogene	GOLGA8VP
chr15	101773238	101773513	-	misc_RNA	RN7SL209P
chr15	101803509	101806887	+	protein_coding	OR4F6
chr15	101812202	101820197	+	protein_coding	OR4F15
chr15	101828741	101829679	+	unprocessed_pseudogene	OR4F14P
chr15	101842119	101850324	+	transcribed_unprocessed_pseudogene	OR4F13P
chr15	101875964	101876901	+	unprocessed_pseudogene	OR4F28P
chr15	101887354	101887767	-	processed_pseudogene	WBP1LP5
chr15	101903154	101903204	+	unprocessed_pseudogene	ENSG00000259646
chr15	101922042	101923113	-	protein_coding	OR4F4
chr15	101926164	101933350	-	transcribed_unprocessed_pseudogene	OR4G2P
chr15	101937591	101938470	-	unprocessed_pseudogene	OR4G6P
chr15	101954885	101956412	+	lncRNA	FAM138E
chr15	101959539	101961408	-	lncRNA	ENSG00000259553
chr15	101960459	101960596	-	miRNA	MIR1302-10
chr15	101961603	101976543	+	transcribed_unprocessed_pseudogene	WASH3P
chr15	101973524	101973591	+	miRNA	MIR6859-3
chr15	101976558	101979093	-	transcribed_unprocessed_pseudogene	DDX11L9
chr16	11555	14090	+	transcribed_unprocessed_pseudogene	DDX11L10
chr16	14381	18068	-	unprocessed_pseudogene	WASH4P
chr16	17052	17119	-	miRNA	MIR6859-4
chr16	17514	35195	-	lncRNA	ENSG00000260803
chr16	22910	25123	+	lncRNA	WASIR2
chr16	29336	38321	-	unprocessed_pseudogene	IL9RP3
chr16	46407	53608	-	protein_coding	POLR3K
chr16	53828	57669	+	protein_coding	SNRNP25
chr16	58059	76355	-	protein_coding	RHBDF1
chr16	74683	74961	+	TEC	ENSG00000278995
chr16	77007	85851	+	protein_coding	MPG
chr16	84271	138677	-	protein_coding	NPRL3
chr16	90631	91102	+	lncRNA	ENSG00000269482
chr16	125737	127219	+	lncRNA	ENSG00000228779
chr16	142728	154503	+	protein_coding	HBZ
chr16	153892	166764	+	protein_coding	HBM
chr16	163122	165156	+	unprocessed_pseudogene	HBZP1
chr16	168679	169334	+	unprocessed_pseudogene	HBAP1
chr16	172876	173710	+	protein_coding	HBA2
chr16	176680	177522	+	protein_coding	HBA1
chr16	178554	178656	+	misc_RNA	Y_RNA
chr16	180459	181179	+	protein_coding	HBQ1
chr16	185748	186294	-	lncRNA	ENSG00000268836
chr16	188969	229463	-	protein_coding	LUC7L
chr16	231134	231472	+	processed_pseudogene	ENSG00000206168
chr16	234521	272183	+	protein_coding	FAM234A
chr16	268301	275980	-	protein_coding	RGS11
chr16	268727	282084	+	lncRNA	ENSG00000286901
chr16	280450	283010	+	protein_coding	ARHGDIG
chr16	283164	287215	+	protein_coding	PDIA2
chr16	287440	352723	-	protein_coding	AXIN1
chr16	366969	371289	-	protein_coding	MRPL28
chr16	370788	387113	-	protein_coding	PGAP6
chr16	382097	392960	+	transcribed_processed_pseudogene	ENSG00000236829
chr16	396725	410367	+	protein_coding	NME4
chr16	401858	412487	+	protein_coding	DECR2
chr16	424243	424543	-	lncRNA	ENSG00000276984
chr16	425649	523011	+	protein_coding	RAB11FIP3
chr16	439297	439397	-	misc_RNA	Y_RNA
chr16	451404	453461	+	transcribed_unprocessed_pseudogene	ENSG00000230428
chr16	525155	527407	-	lncRNA	LINC00235
chr16	527712	554636	+	protein_coding	CAPN15
chr16	535316	535368	+	miRNA	MIR5587
chr16	543277	543366	+	miRNA	MIR3176
chr16	547185	553847	-	lncRNA	ENSG00000261691
chr16	560394	565529	+	protein_coding	PRR35
chr16	566995	584109	+	protein_coding	PIGQ
chr16	567005	569495	+	protein_coding	NHLRC4
chr16	568837	576257	+	lncRNA	ENSG00000282907
chr16	589357	629272	+	protein_coding	RAB40C
chr16	629239	634117	+	protein_coding	WFIKKN1
chr16	634427	636366	-	protein_coding	METTL26
chr16	636817	648474	+	protein_coding	MCRIP2
chr16	648473	649200	-	lncRNA	ENSG00000228201
chr16	649311	667833	+	protein_coding	WDR90
chr16	654611	656194	-	lncRNA	ENSG00000262528
chr16	668105	674174	+	protein_coding	RHOT2
chr16	675671	678268	+	protein_coding	RHBDL1
chr16	678504	679777	-	lncRNA	STUB1-DT
chr16	678645	679061	+	TEC	ENSG00000279441
chr16	680224	682870	+	protein_coding	STUB1
chr16	681670	684528	-	protein_coding	JMJD8
chr16	684622	690444	-	protein_coding	WDR24
chr16	689001	692554	+	lncRNA	ENSG00000261659
chr16	692498	705808	-	protein_coding	FBXL16
chr16	707650	709067	+	TEC	ENSG00000279255
chr16	710746	711277	-	lncRNA	ENSG00000259840
chr16	715118	719655	+	protein_coding	METRN
chr16	720581	722590	+	protein_coding	ANTKMT
chr16	722582	726954	-	protein_coding	CCDC78
chr16	726936	735525	+	protein_coding	HAGHL
chr16	729760	741329	-	protein_coding	CIAO3
chr16	760734	768865	+	protein_coding	MSLN
chr16	769119	769443	-	TEC	ENSG00000279136
chr16	769428	783370	-	protein_coding	MSLNL
chr16	770183	770277	+	miRNA	MIR662
chr16	784974	788397	-	protein_coding	RPUSD1
chr16	788046	800737	+	protein_coding	CHTF18
chr16	798041	800734	-	protein_coding	GNG13
chr16	817489	862843	+	lncRNA	ENSG00000287855
chr16	848525	849065	-	lncRNA	ENSG00000275438
chr16	853634	981318	-	protein_coding	LMF1
chr16	883780	885090	+	lncRNA	ENSG00000260022
chr16	898967	905224	-	lncRNA	ENSG00000260316
chr16	921033	934495	+	lncRNA	LMF1-AS1
chr16	968375	969012	-	lncRNA	ENSG00000276931
chr16	975761	981596	-	lncRNA	CEROX1
chr16	981770	986979	+	protein_coding	SOX8
chr16	991151	1000926	-	lncRNA	ENSG00000260496
chr16	1064087	1078731	-	lncRNA	SSTR5-AS1
chr16	1065240	1066502	+	lncRNA	ENSG00000261720
chr16	1072747	1081454	+	protein_coding	SSTR5
chr16	1088226	1096244	-	protein_coding	C1QTNF8
chr16	1101260	1105461	-	unprocessed_pseudogene	ENSG00000260702
chr16	1111627	1113399	+	lncRNA	ENSG00000260532
chr16	1148224	1148754	-	lncRNA	ENSG00000273551
chr16	1153106	1221771	+	protein_coding	CACNA1H
chr16	1156976	1157974	-	lncRNA	ENSG00000260403
chr16	1159548	1160176	-	lncRNA	ENSG00000259910
chr16	1206560	1207124	-	lncRNA	ENSG00000261294
chr16	1221651	1225268	-	protein_coding	TPSG1
chr16	1223639	1224143	+	lncRNA	ENSG00000277010
chr16	1227272	1230184	-	protein_coding	TPSB2
chr16	1240379	1242554	+	protein_coding	TPSAB1
chr16	1256059	1259008	+	protein_coding	TPSD1
chr16	1257339	1258074	+	lncRNA	ENSG00000260182
chr16	1260952	1263845	-	transcribed_unprocessed_pseudogene	PRSS29P
chr16	1273751	1276522	-	unprocessed_pseudogene	ENSG00000261564
chr16	1280161	1280544	-	unprocessed_pseudogene	ENSG00000260991
chr16	1286351	1288837	-	unprocessed_pseudogene	TPSP2
chr16	1294360	1300721	-	lncRNA	ENSG00000260710
chr16	1305547	1309413	-	lncRNA	ENSG00000274751
chr16	1308880	1327018	+	protein_coding	UBE2I
chr16	1317891	1322845	-	lncRNA	ENSG00000261505
chr16	1329078	1329777	+	processed_pseudogene	RPS20P2
chr16	1333638	1349441	+	protein_coding	BAIAP3
chr16	1349240	1351878	-	protein_coding	TSR3
chr16	1351931	1365737	+	protein_coding	GNPTG
chr16	1358900	1361405	-	lncRNA	ENSG00000260425
chr16	1363205	1414751	-	protein_coding	UNKL
chr16	1408834	1412248	+	lncRNA	ENSG00000260132
chr16	1419752	1420756	-	protein_coding	C16orf91
chr16	1431078	1434441	+	protein_coding	PERCC1
chr16	1434383	1444556	-	protein_coding	CCDC154
chr16	1437154	1439315	+	TEC	ENSG00000279930
chr16	1444934	1475084	-	protein_coding	CLCN7
chr16	1445343	1446519	+	lncRNA	ENSG00000261641
chr16	1451760	1452653	+	lncRNA	ENSG00000260051
chr16	1467673	1472684	-	lncRNA	ENSG00000261430
chr16	1477830	1478583	+	processed_pseudogene	RPS3AP2
chr16	1485886	1488981	-	protein_coding	PTX4
chr16	1493344	1510457	+	protein_coding	TELO2
chr16	1510427	1612072	-	protein_coding	IFT140
chr16	1512979	1514675	+	lncRNA	ENSG00000260646
chr16	1528688	1555580	+	protein_coding	TMEM204
chr16	1530715	1533301	+	TEC	ENSG00000280062
chr16	1553655	1554130	-	TEC	ENSG00000280231
chr16	1576716	1578371	-	TEC	ENSG00000280327
chr16	1579242	1580308	-	lncRNA	ENSG00000260954
chr16	1580527	1610328	+	lncRNA	ENSG00000260989
chr16	1612337	1677908	+	protein_coding	CRAMP1
chr16	1625628	1626160	-	lncRNA	ENSG00000226890
chr16	1632259	1686715	+	protein_coding	ENSG00000261732
chr16	1678256	1702280	+	protein_coding	JPT2
chr16	1688355	1690536	+	TEC	ENSG00000278987
chr16	1706166	1770351	+	protein_coding	MAPK8IP3
chr16	1707252	1707973	+	lncRNA	ENSG00000275092
chr16	1713527	1714219	-	lncRNA	ENSG00000261399
chr16	1734985	1735066	+	miRNA	MIR3177
chr16	1751559	1752262	-	lncRNA	ENSG00000261207
chr16	1770320	1771561	-	protein_coding	NME3
chr16	1771890	1773150	-	protein_coding	MRPS34
chr16	1772810	1781708	+	protein_coding	EME2
chr16	1776712	1793700	-	protein_coding	SPSB3
chr16	1782932	1789186	+	protein_coding	NUBP2
chr16	1790413	1794971	-	protein_coding	IGFALS
chr16	1795620	1827157	-	protein_coding	HAGH
chr16	1826941	1840207	+	protein_coding	FAHD1
chr16	1833986	1884294	-	protein_coding	MEIOB
chr16	1841020	1843547	-	lncRNA	ENSG00000260541
chr16	1878285	1884233	-	lncRNA	LINC00254
chr16	1889114	1890434	+	lncRNA	LINC02124
chr16	1911475	1918415	-	protein_coding	HS3ST6
chr16	1938229	1943199	-	protein_coding	MSRB1
chr16	1943974	1957606	-	protein_coding	RPL3L
chr16	1959538	1961975	+	protein_coding	NDUFB10
chr16	1962058	1964841	-	protein_coding	RPS2
chr16	1962334	1962466	-	snoRNA	SNORA10
chr16	1962973	1963106	-	snoRNA	SNORA64
chr16	1963745	1964095	-	transcribed_processed_pseudogene	ENSG00000255513
chr16	1964899	1965509	+	lncRNA	SNHG9
chr16	1965184	1965310	+	snoRNA	SNORA78
chr16	1966823	1968975	+	protein_coding	RNF151
chr16	1971655	1971896	-	lncRNA	ENSG00000277602
chr16	1972053	1982929	+	protein_coding	TBL3
chr16	1978917	1984192	-	protein_coding	NOXO1
chr16	1984193	1987749	+	protein_coding	GFER
chr16	1984877	1990477	-	lncRNA	ENSG00000261790
chr16	1989660	1994275	+	protein_coding	SYNGR3
chr16	1997654	1998374	+	lncRNA	ENSG00000260107
chr16	1997654	2009821	-	protein_coding	ZNF598
chr16	2009926	2020755	+	protein_coding	NPW
chr16	2013181	2013476	+	misc_RNA	RN7SL219P
chr16	2025356	2039026	+	protein_coding	SLC9A3R2
chr16	2039815	2047866	-	protein_coding	NTHL1
chr16	2047967	2089491	+	protein_coding	TSC2
chr16	2088708	2135898	-	protein_coding	PKD1
chr16	2090195	2090284	-	miRNA	MIR1225
chr16	2091436	2095433	+	lncRNA	ENSG00000259933
chr16	2094830	2097026	-	lncRNA	ENSG00000261123
chr16	2106669	2106753	-	miRNA	MIR6511B1
chr16	2112335	2113342	+	lncRNA	ENSG00000261240
chr16	2119207	2120248	+	lncRNA	ENSG00000260447
chr16	2131851	2131950	+	misc_RNA	Y_RNA
chr16	2133119	2133204	+	miRNA	MIR4516
chr16	2135977	2136129	-	miRNA	MIR3180-5
chr16	2140803	2154165	+	protein_coding	RAB26
chr16	2154792	2155405	-	lncRNA	SNHG19
chr16	2155023	2155105	-	snoRNA	SNORD60
chr16	2155025	2155104	-	snoRNA	ENSG00000281010
chr16	2155698	2178129	+	protein_coding	TRAF7
chr16	2177180	2196605	-	protein_coding	CASKIN1
chr16	2204248	2209453	+	protein_coding	MLST8
chr16	2209253	2210905	-	protein_coding	BRICD5
chr16	2211593	2214840	-	protein_coding	PGP
chr16	2211997	2212863	+	lncRNA	ENSG00000261532
chr16	2223580	2235742	+	protein_coding	E4F1
chr16	2235689	2236913	-	lncRNA	ENSG00000259780
chr16	2235816	2238711	+	protein_coding	DNASE1L2
chr16	2239402	2252300	-	protein_coding	ECI1
chr16	2240487	2241818	+	lncRNA	ENSG00000261663
chr16	2253116	2268397	-	protein_coding	RNPS1
chr16	2268155	2273418	+	lncRNA	MIR3677HG
chr16	2270713	2270772	+	miRNA	MIR3677
chr16	2271747	2271840	+	miRNA	MIR940
chr16	2274620	2274691	+	miRNA	MIR4717
chr16	2275881	2340746	-	protein_coding	ABCA3
chr16	2332313	2332732	-	processed_pseudogene	ENSG00000243445
chr16	2339150	2426699	+	transcribed_unitary_pseudogene	ABCA17P
chr16	2429394	2458854	+	protein_coding	CCNF
chr16	2430702	2437103	-	lncRNA	ENSG00000285970
chr16	2445392	2445457	+	miRNA	MIR6767
chr16	2452581	2452977	-	lncRNA	ENSG00000260095
chr16	2456252	2459979	-	lncRNA	ENSG00000260874
chr16	2460086	2464963	+	protein_coding	TEDC2
chr16	2463967	2464038	+	miRNA	MIR6768
chr16	2464950	2468213	-	lncRNA	TEDC2-AS1
chr16	2471297	2474145	+	protein_coding	NTN3
chr16	2475051	2509560	+	protein_coding	TBC1D24
chr16	2476558	2482173	+	lncRNA	ENSG00000260293
chr16	2496032	2520218	+	protein_coding	ENSG00000260272
chr16	2513952	2520218	+	protein_coding	ATP6V0C
chr16	2513965	2527955	+	protein_coding	ENSG00000259784
chr16	2516658	2517999	+	TEC	ENSG00000279520
chr16	2520357	2531422	+	protein_coding	AMDHD2
chr16	2530035	2531417	-	protein_coding	CEMP1
chr16	2531922	2532005	-	miRNA	MIR3178
chr16	2537979	2603188	+	protein_coding	PDPK1
chr16	2554060	2556060	-	lncRNA	ENSG00000261613
chr16	2554975	2556105	+	lncRNA	ENSG00000261288
chr16	2561471	2565096	-	lncRNA	ENSG00000269937
chr16	2569043	2571936	-	lncRNA	ENSG00000261140
chr16	2571570	2572353	-	lncRNA	ENSG00000260436
chr16	2575628	2577373	-	TEC	ENSG00000279568
chr16	2578395	2579963	+	TEC	ENSG00000280402
chr16	2592514	2594563	+	TEC	ENSG00000279162
chr16	2597881	2599718	-	lncRNA	ENSG00000261093
chr16	2603350	2630494	+	transcribed_unprocessed_pseudogene	ENSG00000215154
chr16	2616121	2643296	-	transcribed_unprocessed_pseudogene	PDPK2P
chr16	2620222	2621794	-	TEC	ENSG00000279057
chr16	2644084	2645214	-	lncRNA	ENSG00000260176
chr16	2660348	2682390	-	lncRNA	ERVK13-1
chr16	2682523	2709030	+	protein_coding	KCTD5
chr16	2683106	2684764	+	TEC	ENSG00000279901
chr16	2712419	2720551	-	protein_coding	PRSS27
chr16	2737076	2752600	-	lncRNA	SRRM2-AS1
chr16	2752626	2772538	+	protein_coding	SRRM2
chr16	2771414	2777289	-	protein_coding	ELOB
chr16	2777319	2780568	+	lncRNA	ENSG00000276791
chr16	2783953	2787948	-	protein_coding	PRSS33
chr16	2796408	2796532	-	snoRNA	SNORA3C
chr16	2798470	2805304	+	protein_coding	PRSS41
chr16	2817180	2826304	+	protein_coding	PRSS21
chr16	2822659	2822993	-	processed_pseudogene	EIF1P4
chr16	2830253	2839585	+	protein_coding	ZG16B
chr16	2839568	2842744	-	lncRNA	PRSS30P
chr16	2852730	2858170	-	protein_coding	PRSS22
chr16	2857898	2859726	+	lncRNA	ENSG00000263325
chr16	2866325	2868251	-	lncRNA	ENSG00000263280
chr16	2883213	2899382	+	protein_coding	FLYWCH2
chr16	2904776	2905399	-	lncRNA	ENSG00000289222
chr16	2911931	2951208	+	protein_coding	FLYWCH1
chr16	2922662	2923202	-	processed_pseudogene	RPL23AP86
chr16	2939714	2954276	-	lncRNA	ENSG00000262482
chr16	2964216	2968383	+	protein_coding	KREMEN2
chr16	2968024	2980479	-	protein_coding	PKMYT1
chr16	2969270	2973484	+	protein_coding	PAQR4
chr16	2981175	2981591	-	lncRNA	ENSG00000274367
chr16	2988256	3002016	+	protein_coding	GREP1
chr16	3003431	3005101	-	lncRNA	ENSG00000262362
chr16	3004132	3004859	+	protein_coding	ENSG00000289281
chr16	3006120	3007388	+	lncRNA	ENSG00000272079
chr16	3012923	3014505	+	protein_coding	CLDN9
chr16	3014712	3020071	-	protein_coding	CLDN6
chr16	3018445	3022383	+	protein_coding	TNFRSF12A
chr16	3022625	3024286	-	protein_coding	HCFC1R1
chr16	3024027	3027755	+	protein_coding	THOC6
chr16	3027682	3036944	-	protein_coding	BICDL2
chr16	3032481	3039133	+	lncRNA	ENSG00000205890
chr16	3037400	3059370	-	lncRNA	MMP25-AS1
chr16	3046062	3060726	+	protein_coding	MMP25
chr16	3065297	3082192	+	protein_coding	IL32
chr16	3069523	3069651	+	snRNA	RNU1-125P
chr16	3076911	3087111	-	lncRNA	ENSG00000262370
chr16	3086143	3086300	+	snRNA	RNU1-22P
chr16	3088890	3099295	-	protein_coding	ZSCAN10
chr16	3100696	3143734	-	lncRNA	ZNF213-AS1
chr16	3106764	3109579	+	lncRNA	ENSG00000263011
chr16	3112560	3120517	+	protein_coding	ZNF205
chr16	3129777	3142804	+	protein_coding	ZNF213
chr16	3144015	3149963	+	transcribed_unitary_pseudogene	CASP16P
chr16	3156736	3157483	-	lncRNA	ENSG00000261889
chr16	3181233	3184018	-	lncRNA	ENSG00000262521
chr16	3188204	3224779	+	lncRNA	ENSG00000262668
chr16	3204247	3205188	+	protein_coding	OR1F1
chr16	3215611	3216543	+	unprocessed_pseudogene	OR1F2P
chr16	3222325	3236221	-	protein_coding	ZNF200
chr16	3242027	3256633	-	protein_coding	MEFV
chr16	3263743	3267567	+	lncRNA	LINC00921
chr16	3263800	3301401	+	protein_coding	ZNF263
chr16	3273609	3275807	+	TEC	ENSG00000279330
chr16	3292879	3293403	+	TEC	ENSG00000279031
chr16	3298808	3305729	-	protein_coding	TIGD7
chr16	3305406	3318852	+	protein_coding	ZNF75A
chr16	3307573	3308393	-	lncRNA	ENSG00000262899
chr16	3323192	3323925	-	processed_pseudogene	ENSG00000262316
chr16	3355889	3357306	+	protein_coding	OR2C1
chr16	3365099	3479550	+	protein_coding	ENSG00000285329
chr16	3367719	3369246	-	processed_pseudogene	MTCO1P28
chr16	3369957	3370906	-	processed_pseudogene	MTND1P8
chr16	3370979	3372668	-	protein_coding	MTRNR2L4
chr16	3382081	3401065	-	protein_coding	ZSCAN32
chr16	3401215	3409364	+	protein_coding	ZNF174
chr16	3432414	3443504	-	protein_coding	ZNF597
chr16	3443649	3486953	+	protein_coding	NAA60
chr16	3458071	3515564	+	lncRNA	ENSG00000263212
chr16	3485381	3485469	-	miRNA	MIR6126
chr16	3493484	3495489	-	protein_coding	C16orf90
chr16	3496201	3496768	+	processed_pseudogene	ENSG00000240311
chr16	3500976	3539048	+	protein_coding	CLUAP1
chr16	3533429	3534258	-	TEC	ENSG00000278942
chr16	3539033	3577403	-	protein_coding	NLRC3
chr16	3542739	3545785	+	lncRNA	ENSG00000262312
chr16	3581181	3583266	+	lncRNA	ENSG00000261938
chr16	3581181	3611606	-	protein_coding	SLX4
chr16	3611728	3680143	+	protein_coding	DNASE1
chr16	3650636	3651703	-	lncRNA	ENSG00000263235
chr16	3651639	3717553	-	protein_coding	TRAP1
chr16	3686998	3687380	+	lncRNA	ENSG00000276754
chr16	3725054	3880713	-	protein_coding	CREBBP
chr16	3840528	3841010	+	processed_pseudogene	ENSG00000262516
chr16	3930806	3950586	-	lncRNA	LINC02861
chr16	3953387	4116442	-	protein_coding	ADCY9
chr16	4032012	4032936	+	lncRNA	ENSG00000263159
chr16	4130555	4130820	+	processed_pseudogene	ENSG00000262471
chr16	4180117	4183515	-	lncRNA	ENSG00000263105
chr16	4189374	4242080	-	protein_coding	SRL
